iter,games,unfinished,win_rate,steps,pg_loss,v_loss,entropy,approx_kl,clip_frac,beta,eval_wr,bc_loss,bc_acc,bc_holdout,bc_coef,secs
45,256,0,0.7070,8878,-0.00312,0.41929,0.9555,0.00137,0.0152,1.0076,,0.93576,0.6621,0.5584,0.1136,9.6
46,256,0,0.6914,8917,-0.00141,0.41583,0.9497,0.00074,0.0020,1.0076,,0.94106,0.6556,0.5594,0.1093,10.8
47,256,0,0.7539,8687,-0.00283,0.39569,0.9384,0.00164,0.0064,1.0086,,0.92732,0.6616,0.5624,0.1051,12.1
48,256,0,0.7109,8831,-0.00232,0.41387,0.9483,0.00138,0.0116,1.0090,,0.93506,0.6571,0.5694,0.1008,11.2
49,256,0,0.7383,8819,-0.00146,0.36703,0.9387,0.00083,0.0019,1.0089,,0.93201,0.6596,0.5679,0.0966,7.9
50,256,0,0.6602,8500,-0.00428,0.43215,0.9527,0.00061,0.0046,1.0093,0.9095,0.94998,0.6539,0.5659,0.0924,12.4
51,256,0,0.7031,8536,-0.00259,0.40636,0.9501,0.00126,0.0085,1.0097,,0.92917,0.6650,0.5624,0.0881,7.9
52,256,0,0.6914,8354,-0.00123,0.38201,0.9215,0.00158,0.0129,1.0095,,0.95031,0.6558,0.5639,0.0839,7.9
53,256,0,0.6875,8493,-0.00534,0.42737,0.9414,0.00176,0.0191,1.0097,,0.94382,0.6516,0.5694,0.0797,7.7
54,256,0,0.6992,8370,-0.00843,0.43476,0.9475,0.00054,0.0035,1.0100,,0.95173,0.6577,0.5649,0.0754,7.7
55,256,0,0.6641,8695,-0.00172,0.44987,0.9650,0.00211,0.0119,1.0087,,0.94717,0.6585,0.5634,0.0712,7.9
56,256,0,0.7461,8867,-0.00140,0.38713,0.9731,0.00137,0.0099,1.0085,,0.93898,0.6612,0.5629,0.0669,7.9
57,256,0,0.7266,8721,-0.00359,0.39775,0.9783,0.00131,0.0092,1.0092,,0.94269,0.6570,0.5559,0.0627,7.7
58,256,0,0.7070,8708,-0.00334,0.40216,0.9803,0.00127,0.0138,1.0106,,0.94888,0.6629,0.5589,0.0585,7.6
59,256,0,0.6328,8645,-0.00291,0.43220,0.9850,0.00158,0.0127,1.0107,,0.94774,0.6598,0.5549,0.0542,9.2
60,256,0,0.6758,8776,-0.00112,0.41121,0.9526,0.00127,0.0153,1.0101,0.9009,0.96351,0.6516,0.5569,0.0500,20.0
