iter,games,unfinished,win_rate,steps,pg_loss,v_loss,entropy,approx_kl,clip_frac,beta,eval_wr,bc_loss,bc_acc,bc_holdout,bc_coef,secs
45,256,0,0.6699,8812,-0.00416,0.47376,0.8360,0.00142,0.0159,1.0137,,0.84168,0.6928,0.5329,0.1136,7.5
46,256,0,0.6230,8730,-0.00325,0.47454,0.8319,0.00230,0.0171,1.0139,,0.82217,0.6954,0.5289,0.1093,7.7
47,256,0,0.6094,8753,-0.00090,0.49049,0.8277,0.00071,0.0035,1.0126,,0.83838,0.6867,0.5267,0.1051,7.6
48,256,0,0.6445,8306,-0.00452,0.46813,0.7924,0.00091,0.0168,1.0131,,0.82960,0.6918,0.5198,0.1008,7.3
49,256,0,0.6035,8771,-0.00259,0.49601,0.8255,0.00096,0.0066,1.0130,,0.81948,0.6906,0.5151,0.0966,7.8
50,256,0,0.6211,8791,-0.00368,0.49977,0.8333,0.00187,0.0164,1.0138,0.5546,0.80808,0.6950,0.5216,0.0924,12.9
51,256,0,0.6328,8701,-0.00313,0.48062,0.8454,0.00132,0.0150,1.0142,,0.82719,0.6936,0.5244,0.0881,7.4
52,256,0,0.5996,8850,-0.00270,0.49421,0.8243,0.00219,0.0141,1.0140,,0.81406,0.6946,0.5216,0.0839,7.8
53,256,0,0.6328,8670,-0.00193,0.49933,0.8196,0.00145,0.0060,1.0144,,0.82934,0.6885,0.5204,0.0797,7.5
54,256,0,0.5898,8750,-0.00061,0.52355,0.8248,0.00113,0.0055,1.0146,,0.84728,0.6845,0.5234,0.0754,7.5
55,256,0,0.6426,8507,-0.00500,0.48159,0.8343,0.00057,0.0088,1.0136,,0.84583,0.6850,0.5198,0.0712,7.5
56,256,0,0.6895,8823,-0.00187,0.46951,0.8410,0.00233,0.0111,1.0130,,0.83944,0.6900,0.5265,0.0669,7.7
57,256,0,0.6289,8486,-0.00317,0.48112,0.8449,0.00258,0.0171,1.0126,,0.82888,0.6914,0.5248,0.0627,7.3
58,256,0,0.6250,8736,-0.00203,0.49869,0.8217,0.00052,0.0050,1.0136,,0.84339,0.6874,0.5223,0.0585,7.5
59,256,0,0.6133,8870,-0.00284,0.49277,0.8055,0.00166,0.0124,1.0145,,0.84699,0.6903,0.5234,0.0542,7.7
60,256,0,0.6562,8494,0.00287,0.48681,0.7990,0.00253,0.0157,1.0152,0.6437,0.83120,0.6919,0.5280,0.0500,12.2
