iter,games,unfinished,win_rate,steps,pg_loss,v_loss,entropy,approx_kl,clip_frac,beta,eval_wr,bc_loss,bc_acc,bc_holdout,bc_coef,adv_minwr,secs
42,256,0,0.5059,8822,-0.00249,0.50685,0.8265,0.00197,0.0127,1.0129,,0.82046,0.6917,0.5250,0.1263,0.3940,7.6
43,256,0,0.6152,8699,-0.00173,0.52030,0.8481,0.00245,0.0152,1.0139,,0.83867,0.6821,0.5268,0.1220,0.4208,7.5
44,256,0,0.5625,8720,-0.00445,0.52340,0.8315,0.00128,0.0060,1.0149,,0.84514,0.6808,0.5272,0.1178,0.4283,7.8
45,256,0,0.6250,8743,-0.00141,0.49604,0.8292,0.00192,0.0131,1.0153,,0.83967,0.6839,0.5284,0.1136,0.4415,7.5
46,256,0,0.5742,8528,-0.00182,0.50352,0.8127,0.00215,0.0116,1.0151,,0.82268,0.6938,0.5274,0.1093,0.4253,7.3
47,256,0,0.6055,8491,-0.00482,0.50317,0.8087,0.00184,0.0209,1.0145,,0.84759,0.6814,0.5246,0.1051,0.4477,7.3
48,256,0,0.5625,8496,-0.00270,0.49784,0.7913,0.00246,0.0108,1.0154,,0.82728,0.6868,0.5231,0.1008,0.4513,7.4
49,256,0,0.6211,8774,-0.00184,0.50605,0.8307,0.00133,0.0090,1.0154,,0.82582,0.6860,0.5251,0.0966,0.4369,7.7
50,256,0,0.5859,8999,-0.00243,0.51022,0.8133,0.00210,0.0086,1.0159,0.8290,0.81733,0.6899,0.5212,0.0924,0.4212,14.2
51,256,0,0.5234,8559,-0.00298,0.51909,0.8256,0.00133,0.0107,1.0166,,0.83259,0.6839,0.5170,0.0881,0.4464,7.2
52,256,0,0.6211,8738,-0.00399,0.50705,0.8311,0.00151,0.0086,1.0169,,0.81475,0.6890,0.5210,0.0839,0.4443,7.5
53,256,0,0.6016,8744,-0.00329,0.53141,0.8383,0.00204,0.0128,1.0178,,0.84430,0.6783,0.5240,0.0797,0.4558,7.6
54,256,0,0.6406,9058,-0.00277,0.49376,0.8383,0.00065,0.0108,1.0178,,0.85254,0.6772,0.5191,0.0754,0.4444,7.6
55,256,0,0.5312,8733,-0.00150,0.52007,0.8080,0.00073,0.0033,1.0173,,0.85361,0.6808,0.5204,0.0712,0.3942,7.5
56,256,0,0.5566,8818,-0.00359,0.53276,0.8179,0.00096,0.0204,1.0166,,0.84972,0.6849,0.5208,0.0669,0.4099,7.8
57,256,0,0.5547,8834,-0.00298,0.51547,0.8228,0.00085,0.0103,1.0180,,0.83602,0.6872,0.5295,0.0627,0.3869,7.5
58,256,0,0.5684,8677,-0.00470,0.50082,0.8087,0.00092,0.0124,1.0196,,0.86143,0.6803,0.5261,0.0585,0.3805,7.5
59,256,0,0.5781,8851,-0.00515,0.49873,0.7927,0.00162,0.0134,1.0191,,0.84764,0.6868,0.5276,0.0542,0.3902,7.6
60,256,0,0.5117,8735,-0.00548,0.51470,0.7808,0.00163,0.0141,1.0188,0.7198,0.84552,0.6862,0.5242,0.0500,0.3860,14.2
