iter,games,unfinished,win_rate,steps,pg_loss,v_loss,entropy,approx_kl,clip_frac,beta,eval_wr,bc_loss,bc_acc,bc_holdout,bc_coef,adv_minwr,secs
42,256,0,0.7188,9750,-0.00394,0.43678,1.1271,0.00261,0.0164,1.0112,,1.03739,0.6302,0.5590,0.1263,0.6172,7.7
43,256,0,0.7188,9745,-0.00293,0.43553,1.1247,0.00103,0.0147,1.0131,,1.04723,0.6293,0.5566,0.1220,0.6141,7.9
44,256,0,0.7344,9613,-0.00435,0.41897,1.1199,0.00212,0.0186,1.0142,,1.03301,0.6342,0.5590,0.1178,0.6243,7.7
45,256,0,0.7090,9320,-0.00025,0.43434,1.0960,0.00199,0.0109,1.0147,,1.04050,0.6319,0.5605,0.1136,0.5923,7.6
46,256,0,0.7109,9292,-0.00765,0.41198,1.1013,0.00255,0.0248,1.0150,,1.04795,0.6302,0.5625,0.1093,0.6066,7.8
47,256,0,0.6719,9462,-0.00386,0.41882,1.1182,0.00344,0.0201,1.0138,,1.04428,0.6268,0.5634,0.1051,0.6066,7.9
48,256,0,0.7109,9668,-0.00152,0.44409,1.1108,0.00200,0.0160,1.0138,,1.07153,0.6151,0.5577,0.1008,0.6214,7.8
49,256,0,0.7461,9388,0.00128,0.39421,1.1119,0.00295,0.0234,1.0140,,1.04729,0.6210,0.5544,0.0966,0.6265,7.6
50,256,0,0.7539,9665,-0.00313,0.41386,1.0948,0.00299,0.0281,1.0141,0.8506,1.05650,0.6205,0.5539,0.0924,0.6432,13.5
51,256,0,0.6758,9240,-0.01063,0.41750,1.0867,0.00237,0.0263,1.0146,,1.06544,0.6093,0.5532,0.0881,0.6275,7.3
52,256,0,0.7344,9786,-0.00290,0.43918,1.0726,0.00211,0.0334,1.0158,,1.07104,0.6118,0.5519,0.0839,0.6352,7.7
53,256,0,0.7500,9633,-0.00508,0.40893,1.0728,0.00259,0.0228,1.0154,,1.05196,0.6139,0.5532,0.0797,0.6355,7.8
54,256,0,0.7383,9863,-0.00328,0.40674,1.0694,0.00210,0.0166,1.0153,,1.03243,0.6208,0.5528,0.0754,0.6468,7.9
55,256,0,0.7383,9797,-0.00225,0.41760,1.0654,0.00095,0.0050,1.0161,,1.05768,0.6154,0.5497,0.0712,0.6705,8.0
56,256,0,0.7090,9513,-0.00617,0.44686,1.0576,0.00203,0.0137,1.0166,,1.05095,0.6152,0.5473,0.0669,0.6286,7.7
57,256,0,0.7578,9604,-0.00213,0.40928,1.0848,0.00198,0.0160,1.0159,,1.06197,0.6113,0.5457,0.0627,0.6400,7.6
58,256,0,0.7031,9721,-0.00319,0.42335,1.0852,0.00246,0.0134,1.0153,,1.06910,0.6104,0.5477,0.0585,0.6367,7.7
59,256,0,0.7695,9498,-0.00915,0.41974,1.0765,0.00275,0.0200,1.0139,,1.03644,0.6215,0.5459,0.0542,0.6428,7.7
60,256,0,0.7207,10009,-0.00342,0.42565,1.1059,0.00274,0.0167,1.0144,0.8319,1.05770,0.6145,0.5501,0.0500,0.6482,13.9
1,256,0,0.6758,9393,-0.00586,0.55248,1.2341,0.00153,0.0214,1.0001,,1.03636,0.6298,0.5568,0.3000,0.4674,7.7
2,256,0,0.6602,9789,-0.00281,0.53003,1.2114,0.00148,0.0076,1.0010,,1.05096,0.6188,0.5541,0.2958,0.4544,7.7
3,256,0,0.7188,9389,-0.00500,0.50521,1.2206,0.00113,0.0179,1.0004,,1.03404,0.6287,0.5552,0.2915,0.4817,7.7
4,256,0,0.6602,9253,-0.00671,0.48597,1.2319,0.00320,0.0091,1.0006,,1.03188,0.6284,0.5555,0.2873,0.4639,7.6
5,256,0,0.6641,9059,-0.00231,0.49295,1.1866,0.00227,0.0068,1.0021,,1.02528,0.6363,0.5574,0.2831,0.4841,7.4
6,256,0,0.6758,9243,-0.00402,0.46292,1.1928,0.00212,0.0228,1.0015,,1.04679,0.6286,0.5574,0.2788,0.4860,7.6
7,256,0,0.6641,9492,-0.00347,0.49177,1.1918,0.00216,0.0150,1.0013,,1.05522,0.6252,0.5597,0.2746,0.4783,7.8
8,256,0,0.6367,9308,0.00026,0.48499,1.1378,0.00202,0.0208,1.0024,,1.01994,0.6299,0.5599,0.2703,0.4739,7.8
9,256,0,0.6602,8990,-0.00273,0.46752,1.1500,0.00078,0.0114,1.0018,,1.04420,0.6223,0.5605,0.2661,0.4846,7.4
10,256,0,0.6211,9221,-0.00150,0.47343,1.1396,0.00317,0.0060,1.0018,0.7902,1.02611,0.6348,0.5590,0.2619,0.5243,12.1
11,256,0,0.6797,9735,-0.00285,0.49636,1.1563,0.00242,0.0173,1.0017,,1.04430,0.6255,0.5590,0.2576,0.5337,7.6
12,256,0,0.6914,9262,0.00121,0.49017,1.1717,0.00092,0.0122,1.0008,,1.03893,0.6292,0.5577,0.2534,0.5332,7.5
13,256,0,0.6875,9390,-0.00159,0.46969,1.1872,0.00062,0.0059,1.0017,,1.04598,0.6206,0.5601,0.2492,0.5587,7.6
14,256,0,0.6797,9352,-0.00753,0.45421,1.1876,0.00238,0.0083,1.0037,,1.04078,0.6265,0.5597,0.2449,0.5444,7.5
15,256,0,0.7305,9698,-0.00246,0.46825,1.1947,0.00060,0.0040,1.0047,,1.04049,0.6267,0.5588,0.2407,0.5461,7.9
16,256,0,0.6914,9360,-0.00031,0.44947,1.1467,0.00140,0.0041,1.0061,,1.04819,0.6248,0.5608,0.2364,0.5806,7.7
17,256,0,0.6914,9833,-0.00304,0.46258,1.1678,0.00163,0.0105,1.0063,,1.02104,0.6366,0.5570,0.2322,0.5864,7.8
18,256,0,0.7188,9478,0.00090,0.43374,1.1898,0.00171,0.0123,1.0063,,1.02175,0.6338,0.5557,0.2280,0.6271,7.5
19,256,0,0.6719,9395,-0.00405,0.46614,1.1568,0.00184,0.0166,1.0069,,1.03864,0.6232,0.5552,0.2237,0.5574,7.4
20,256,0,0.6934,9341,-0.00026,0.47726,1.1658,0.00184,0.0196,1.0061,0.6940,1.04348,0.6267,0.5515,0.2195,0.5702,13.7
21,256,0,0.7188,9503,-0.00348,0.43692,1.1498,0.00249,0.0106,1.0061,,1.01651,0.6343,0.5515,0.2153,0.6040,7.7
22,256,0,0.7188,9789,-0.00278,0.43065,1.1672,0.00149,0.0103,1.0066,,1.03935,0.6242,0.5581,0.2110,0.6182,7.8
23,256,0,0.7461,9497,-0.00472,0.41346,1.1683,0.00133,0.0207,1.0065,,1.02263,0.6363,0.5577,0.2068,0.6244,7.5
24,256,0,0.6953,9391,-0.00342,0.43795,1.1690,0.00212,0.0189,1.0062,,1.04032,0.6260,0.5594,0.2025,0.6021,7.6
25,256,0,0.7734,9582,-0.00440,0.41391,1.1697,0.00144,0.0113,1.0072,,1.03640,0.6290,0.5592,0.1983,0.6257,7.8
26,256,0,0.7617,9263,-0.00202,0.40066,1.1454,0.00220,0.0223,1.0091,,1.02930,0.6310,0.5597,0.1941,0.6130,7.5
27,256,0,0.7344,9522,-0.00160,0.43039,1.1614,0.00249,0.0148,1.0079,,1.03194,0.6312,0.5572,0.1898,0.6005,7.8
28,256,0,0.6797,9381,-0.00257,0.45928,1.1656,0.00243,0.0338,1.0080,,1.02010,0.6329,0.5572,0.1856,0.5888,7.7
29,256,0,0.6562,8920,-0.00280,0.46546,1.1295,0.00197,0.0113,1.0081,,1.03002,0.6283,0.5532,0.1814,0.5782,7.3
30,256,0,0.7188,9319,-0.00497,0.43514,1.1442,0.00347,0.0259,1.0076,0.7313,1.03016,0.6289,0.5566,0.1771,0.5750,13.2
31,256,0,0.6797,9533,-0.00271,0.45421,1.1581,0.00205,0.0145,1.0083,,1.03423,0.6304,0.5546,0.1729,0.5803,7.6
32,256,0,0.7422,9274,0.00087,0.40833,1.1434,0.00136,0.0107,1.0088,,1.05855,0.6163,0.5590,0.1686,0.6062,7.5
33,256,0,0.7070,9216,-0.00363,0.42999,1.1423,0.00318,0.0279,1.0099,,1.04486,0.6222,0.5572,0.1644,0.6031,7.5
34,256,0,0.7031,9579,-0.00480,0.46463,1.1359,0.00259,0.0130,1.0105,,1.04295,0.6277,0.5583,0.1602,0.5820,7.6
35,256,0,0.6836,9763,-0.00349,0.48591,1.1264,0.00143,0.0034,1.0106,,1.04053,0.6268,0.5559,0.1559,0.5762,7.7
36,256,0,0.7422,9551,-0.00401,0.42460,1.1298,0.00036,0.0041,1.0103,,1.05096,0.6222,0.5563,0.1517,0.6016,7.4
37,256,0,0.7148,9461,-0.00239,0.43080,1.1298,0.00284,0.0162,1.0110,,1.04439,0.6291,0.5574,0.1475,0.6071,7.6
38,256,0,0.7637,9559,-0.00537,0.40524,1.1258,0.00094,0.0110,1.0096,,1.03766,0.6288,0.5521,0.1432,0.6159,7.6
39,256,0,0.7031,9855,-0.00403,0.41928,1.1370,0.00152,0.0110,1.0092,,1.03256,0.6268,0.5519,0.1390,0.6446,7.8
40,256,0,0.7148,9884,-0.00267,0.44742,1.1646,0.00272,0.0215,1.0090,0.8276,1.03884,0.6308,0.5526,0.1347,0.6523,13.6
41,256,0,0.7266,9483,-0.00445,0.42519,1.1050,0.00142,0.0160,1.0103,,1.04717,0.6247,0.5555,0.1305,0.6382,7.5
42,256,0,0.7422,9473,-0.00451,0.43172,1.1365,0.00207,0.0098,1.0093,,1.04927,0.6226,0.5530,0.1263,0.6172,7.6
43,256,0,0.7227,9317,-0.00449,0.41289,1.1044,0.00284,0.0309,1.0100,,1.04274,0.6270,0.5508,0.1220,0.6071,7.5
44,256,0,0.7734,9768,-0.00301,0.40639,1.1180,0.00140,0.0088,1.0100,,1.02396,0.6323,0.5519,0.1178,0.6464,7.8
45,256,0,0.7188,9111,-0.00352,0.41957,1.0841,0.00274,0.0151,1.0094,,1.05754,0.6168,0.5526,0.1136,0.6546,7.6
46,256,0,0.7500,9792,-0.00258,0.42485,1.1251,0.00115,0.0085,1.0107,,1.04335,0.6285,0.5539,0.1093,0.6390,7.9
47,256,0,0.7383,9416,0.00004,0.40551,1.0794,0.00234,0.0107,1.0125,,1.04988,0.6228,0.5537,0.1051,0.6516,7.7
48,256,0,0.7461,9283,-0.00330,0.38298,1.1129,0.00268,0.0227,1.0135,,1.06123,0.6206,0.5510,0.1008,0.6211,7.4
49,256,0,0.6992,9418,-0.01046,0.42556,1.0837,0.00226,0.0165,1.0123,,1.08137,0.6114,0.5524,0.0966,0.6071,7.6
