iter,games,unfinished,win_rate,steps,pg_loss,v_loss,entropy,approx_kl,clip_frac,beta,eval_wr,bc_loss,bc_acc,bc_holdout,bc_coef,adv_minwr,secs
1,256,0,0.3438,8993,-0.00277,0.55511,1.0090,0.00241,0.0036,1.0009,,0.96046,0.6438,0.6032,0.5000,0.3500,7.1
2,256,0,0.2695,8972,-0.00160,0.49592,1.0066,0.00030,0.0000,0.9993,,0.97525,0.6444,0.5996,0.4949,0.2712,6.8
3,256,0,0.2969,9472,-0.00497,0.46747,1.0000,0.00020,0.0007,0.9984,,0.97737,0.6385,0.6014,0.4898,0.2078,7.6
4,256,0,0.2969,9033,-0.00117,0.47705,0.9882,0.00058,0.0004,0.9973,,0.96813,0.6506,0.6085,0.4847,0.1669,6.9
5,256,0,0.2578,9338,0.00376,0.45010,0.9875,0.00012,0.0026,0.9959,,0.95923,0.6487,0.6067,0.4797,0.1378,7.3
6,256,0,0.2891,9155,-0.00135,0.47500,0.9664,0.00015,0.0000,0.9953,,0.96154,0.6440,0.5961,0.4746,0.1237,7.1
7,256,0,0.2773,9633,-0.00058,0.46386,0.9469,0.00071,0.0012,0.9949,,0.95001,0.6507,0.5908,0.4695,0.0866,7.4
8,256,0,0.3320,9469,-0.00148,0.44893,0.9577,0.00175,0.0073,0.9921,,0.96880,0.6456,0.6085,0.4644,0.0806,7.1
9,256,0,0.3555,9209,-0.00073,0.47598,0.9488,0.00050,0.0002,0.9912,,0.96751,0.6452,0.5979,0.4593,0.0704,7.0
10,256,0,0.2676,9635,-0.00020,0.46717,0.9577,0.00044,0.0019,0.9915,0.6092,0.97539,0.6449,0.5979,0.4542,0.0949,13.2
11,256,0,0.2773,9480,-0.00119,0.43587,0.9565,0.00113,0.0057,0.9900,,0.95461,0.6517,0.5926,0.4492,0.0964,7.2
12,256,0,0.2578,9344,-0.00149,0.44829,0.9497,0.00067,0.0031,0.9896,,0.95758,0.6509,0.6014,0.4441,0.0769,7.2
13,256,0,0.3203,9553,-0.00465,0.46503,0.9469,0.00022,0.0007,0.9897,,0.93783,0.6602,0.5838,0.4390,0.0619,7.4
14,256,0,0.3164,9491,0.00159,0.46450,0.9257,0.00063,0.0000,0.9904,,0.97454,0.6440,0.5820,0.4339,0.0522,7.2
15,256,0,0.2930,9525,-0.00015,0.40530,0.9401,0.00068,0.0022,0.9890,,0.94284,0.6596,0.5838,0.4288,0.0692,7.4
16,256,0,0.3047,9452,-0.00198,0.43096,0.9240,0.00144,0.0050,0.9877,,0.95110,0.6576,0.5838,0.4237,0.0647,7.5
17,256,0,0.3242,9388,0.00266,0.43295,0.9312,0.00054,0.0000,0.9873,,0.94652,0.6575,0.5908,0.4186,0.0746,7.3
18,256,0,0.2188,9359,-0.00330,0.42649,0.9214,0.00101,0.0010,0.9872,,0.94836,0.6618,0.5979,0.4136,0.0635,7.1
19,256,0,0.3203,9270,-0.00080,0.45204,0.9564,0.00124,0.0081,0.9863,,0.94398,0.6570,0.5891,0.4085,0.1045,7.5
20,256,0,0.2461,9118,-0.00087,0.41440,0.9246,0.00051,0.0025,0.9855,0.6063,0.94980,0.6540,0.5926,0.4034,0.0927,12.9
21,256,0,0.3125,9352,0.00222,0.42519,0.9504,0.00108,0.0038,0.9844,,0.92016,0.6671,0.5873,0.3983,0.0788,7.0
22,256,0,0.2852,9451,0.00185,0.43515,0.9561,0.00037,0.0029,0.9813,,0.93783,0.6603,0.5767,0.3932,0.0777,7.2
23,256,0,0.2656,9655,-0.00004,0.44205,0.9296,0.00125,0.0086,0.9831,,0.92544,0.6607,0.5961,0.3881,0.0758,7.4
24,256,0,0.3516,9048,-0.00070,0.42550,0.9398,0.00004,0.0000,0.9830,,0.94393,0.6622,0.5926,0.3831,0.0667,6.8
25,256,0,0.3516,9290,-0.00561,0.45501,0.9337,0.00100,0.0037,0.9796,,0.94449,0.6584,0.5961,0.3780,0.0748,7.1
26,256,0,0.3125,9403,-0.00191,0.43513,0.9332,0.00095,0.0035,0.9816,,0.92692,0.6677,0.6138,0.3729,0.0985,7.2
27,256,0,0.3242,8968,-0.00115,0.44541,0.9079,0.00029,0.0010,0.9831,,0.92390,0.6666,0.6085,0.3678,0.1023,6.9
28,256,0,0.3008,9347,-0.00099,0.42361,0.9184,0.00131,0.0083,0.9810,,0.91790,0.6703,0.5979,0.3627,0.0947,7.1
29,256,0,0.3203,9531,-0.00035,0.42762,0.9153,0.00027,0.0005,0.9814,,0.92746,0.6703,0.5979,0.3576,0.1107,7.3
30,256,0,0.3086,9472,-0.00299,0.41975,0.9140,0.00074,0.0001,0.9826,0.6954,0.92835,0.6671,0.6067,0.3525,0.1064,13.4
31,256,0,0.3086,9340,-0.00090,0.44363,0.9000,0.00052,0.0040,0.9820,,0.92172,0.6708,0.6155,0.3475,0.1085,7.3
32,256,0,0.3125,9412,-0.00288,0.43880,0.9051,0.00050,0.0005,0.9815,,0.92236,0.6706,0.6067,0.3424,0.0991,7.3
33,256,0,0.3105,9447,-0.00433,0.43114,0.8891,0.00036,0.0018,0.9809,,0.92892,0.6717,0.6102,0.3373,0.0763,7.3
34,256,0,0.2539,9488,-0.00075,0.42008,0.8919,0.00062,0.0042,0.9813,,0.92482,0.6748,0.6067,0.3322,0.0793,7.4
35,256,0,0.2852,9733,-0.00141,0.40951,0.8884,0.00019,0.0027,0.9809,,0.91727,0.6714,0.5979,0.3271,0.0739,7.5
36,256,0,0.3750,9197,-0.00142,0.45141,0.8997,0.00114,0.0042,0.9812,,0.91655,0.6739,0.6032,0.3220,0.1209,7.0
37,256,0,0.3164,9580,-0.00241,0.43816,0.9090,0.00034,0.0029,0.9817,,0.90887,0.6699,0.5996,0.3169,0.1152,7.4
38,256,0,0.3281,9566,-0.00103,0.45223,0.8938,0.00072,0.0044,0.9818,,0.92491,0.6662,0.5926,0.3119,0.1225,7.5
39,256,0,0.3008,9219,-0.03450,0.43877,0.8841,0.00019,0.0044,0.9857,,0.91230,0.6721,0.5961,0.3068,0.1223,7.3
40,256,0,0.3008,9760,0.00147,0.46390,0.8762,0.00155,0.0098,0.9844,0.6652,0.90714,0.6730,0.5996,0.3017,0.1112,13.9
41,256,0,0.3086,9040,-0.00076,0.43194,0.9013,0.00073,0.0013,0.9836,,0.89682,0.6794,0.5979,0.2966,0.1097,6.9
42,256,0,0.4062,9206,-0.00115,0.45453,0.8958,0.00016,0.0005,0.9826,,0.90488,0.6746,0.6067,0.2915,0.1143,6.9
43,256,0,0.3320,9314,-0.00763,0.46403,0.9177,0.00111,0.0027,0.9810,,0.90997,0.6705,0.6049,0.2864,0.1247,7.2
44,256,0,0.3398,8969,-0.00148,0.43851,0.8939,0.00032,0.0057,0.9813,,0.92422,0.6718,0.6032,0.2814,0.1353,6.9
45,256,0,0.2852,9361,0.00078,0.43840,0.9033,0.00047,0.0040,0.9795,,0.91088,0.6742,0.5996,0.2763,0.1120,7.3
46,256,0,0.2852,9624,-0.00256,0.43487,0.8869,0.00155,0.0135,0.9787,,0.91061,0.6726,0.6067,0.2712,0.1029,7.3
47,256,0,0.3516,9626,0.00146,0.43728,0.8742,0.00086,0.0024,0.9789,,0.90882,0.6720,0.5944,0.2661,0.0993,7.5
48,256,0,0.3125,9519,-0.00354,0.41452,0.8701,0.00123,0.0081,0.9792,,0.91366,0.6749,0.5979,0.2610,0.0865,7.4
49,256,0,0.3633,9402,-0.00323,0.41922,0.8785,0.00040,0.0022,0.9803,,0.90103,0.6789,0.5961,0.2559,0.0847,7.2
50,256,0,0.3203,9285,-0.00479,0.42563,0.8633,0.00054,0.0029,0.9816,0.5963,0.90370,0.6768,0.5961,0.2508,0.0899,13.6
51,256,0,0.3262,9403,-0.00279,0.43626,0.8573,0.00050,0.0026,0.9815,,0.92327,0.6703,0.5996,0.2458,0.0992,7.4
