iter,games,unfinished,win_rate,steps,pg_loss,v_loss,entropy,approx_kl,clip_frac,beta,eval_wr,bc_loss,bc_acc,bc_holdout,bc_coef,adv_minwr,secs
1,256,0,0.4727,9757,0.00047,0.58534,0.6914,0.00019,0.0044,0.9999,,0.63280,0.7964,0.7269,0.5000,0.3687,7.5
2,256,0,0.3906,9777,-0.00072,0.54913,0.6768,0.00041,0.0016,0.9992,,0.62043,0.8005,0.7259,0.4949,0.2786,7.7
3,256,0,0.4219,9599,-0.00007,0.52669,0.6792,0.00044,0.0010,0.9977,,0.64534,0.7892,0.7252,0.4898,0.2138,7.3
4,256,0,0.3359,9934,-0.00056,0.50663,0.6566,0.00087,0.0080,0.9982,,0.63254,0.7954,0.7269,0.4847,0.1796,7.4
5,256,0,0.3438,9665,-0.00127,0.48426,0.6509,0.00079,0.0057,0.9974,,0.62476,0.7962,0.7300,0.4797,0.1407,7.4
6,256,0,0.3711,9657,-0.00302,0.48815,0.6569,0.00064,0.0009,0.9987,,0.62797,0.7947,0.7259,0.4746,0.1456,7.5
7,256,0,0.3555,9962,-0.00199,0.48436,0.6316,0.00025,0.0035,0.9999,,0.60484,0.8018,0.7234,0.4695,0.1519,7.6
8,256,0,0.3438,9734,-0.00257,0.49649,0.6410,0.00076,0.0051,0.9983,,0.62510,0.7973,0.7314,0.4644,0.1619,7.5
9,256,0,0.3398,9745,-0.00102,0.48742,0.6398,0.00021,0.0015,0.9980,,0.59161,0.8094,0.7293,0.4593,0.1343,7.7
10,256,0,0.3633,9702,-0.00101,0.49036,0.6387,0.00108,0.0049,0.9968,0.7310,0.61440,0.8025,0.7321,0.4542,0.1240,14.5
11,256,0,0.3398,9689,-0.00188,0.49158,0.6292,0.00022,0.0023,0.9957,,0.60047,0.8025,0.7311,0.4492,0.1207,7.4
12,256,0,0.3945,9464,-0.00030,0.48641,0.6247,0.00071,0.0059,0.9964,,0.60733,0.8039,0.7366,0.4441,0.1391,7.3
13,256,0,0.3281,9785,-0.00155,0.47729,0.6287,0.00083,0.0081,0.9972,,0.60895,0.8034,0.7328,0.4390,0.1113,7.5
14,256,0,0.4062,9483,0.00151,0.49124,0.6301,0.00058,0.0060,0.9985,,0.61164,0.7981,0.7370,0.4339,0.1136,7.4
15,256,0,0.3438,9914,-0.00225,0.47514,0.6049,0.00128,0.0061,0.9973,,0.59655,0.7980,0.7345,0.4288,0.1123,7.5
16,256,0,0.2969,9830,-0.00027,0.48637,0.6187,0.00056,0.0019,0.9964,,0.61566,0.7953,0.7370,0.4237,0.0845,7.7
17,256,0,0.3320,9759,-0.00159,0.45561,0.6079,0.00052,0.0031,0.9970,,0.59504,0.8041,0.7370,0.4186,0.1010,7.6
18,256,0,0.3750,9576,-0.00071,0.46010,0.6037,0.00072,0.0021,0.9951,,0.59230,0.8074,0.7391,0.4136,0.0985,7.4
19,256,0,0.3828,9461,-0.00075,0.46397,0.5974,0.00063,0.0027,0.9959,,0.58367,0.8038,0.7404,0.4085,0.0904,7.4
20,256,0,0.3477,9457,0.00296,0.46560,0.5910,0.00022,0.0023,0.9968,0.5774,0.58877,0.8027,0.7377,0.4034,0.1036,14.3
21,256,0,0.3711,9522,-0.00201,0.46997,0.6099,0.00060,0.0033,0.9957,,0.57942,0.8085,0.7366,0.3983,0.1162,7.1
22,256,0,0.3516,9779,-0.00420,0.46775,0.5963,0.00110,0.0082,0.9955,,0.58756,0.8097,0.7363,0.3932,0.0997,7.5
23,256,0,0.3438,9633,-0.00184,0.45046,0.5992,0.00095,0.0047,0.9954,,0.58321,0.8037,0.7356,0.3881,0.0966,7.4
24,256,0,0.3594,9519,0.00043,0.41792,0.6008,0.00065,0.0063,0.9951,,0.58078,0.8104,0.7387,0.3831,0.0796,7.4
