iter,games,unfinished,win_rate,steps,pg_loss,v_loss,entropy,approx_kl,clip_frac,beta,eval_wr,bc_loss,bc_acc,bc_holdout,bc_coef,secs
45,256,0,0.7305,9216,-0.00307,0.38877,1.0953,0.00253,0.0140,1.0071,,1.02848,0.6290,0.5601,0.1136,8.5
46,256,0,0.7773,9399,0.00399,0.36077,1.0967,0.00372,0.0143,1.0073,,1.03436,0.6263,0.5574,0.1093,8.4
47,256,0,0.7812,9702,-0.00513,0.35275,1.1060,0.00229,0.0139,1.0069,,0.99450,0.6406,0.5603,0.1051,8.5
48,256,0,0.7461,9204,-0.00306,0.36532,1.0809,0.00110,0.0121,1.0070,,1.03965,0.6202,0.5581,0.1008,8.1
49,256,0,0.7031,8650,-0.00476,0.40630,1.0601,0.00158,0.0032,1.0071,,1.03114,0.6300,0.5630,0.0966,7.6
50,256,0,0.7656,8931,-0.00462,0.37578,1.0261,0.00091,0.0169,1.0072,0.8621,1.02586,0.6315,0.5577,0.0924,12.6
51,256,0,0.7500,8935,-0.00425,0.37126,1.0359,0.00110,0.0099,1.0066,,1.05599,0.6178,0.5524,0.0881,9.5
52,256,0,0.7617,8885,-0.00287,0.34821,1.0357,0.00170,0.0109,1.0068,,1.05360,0.6189,0.5484,0.0839,10.1
53,256,0,0.7617,8942,-0.00378,0.36996,1.0280,0.00245,0.0171,1.0063,,1.03689,0.6312,0.5537,0.0797,11.2
54,256,0,0.7500,9205,-0.00287,0.35769,1.0352,0.00304,0.0145,1.0072,,1.04169,0.6243,0.5539,0.0754,11.7
55,256,0,0.7422,9422,0.00102,0.39616,1.0399,0.00193,0.0212,1.0073,,1.05334,0.6147,0.5510,0.0712,12.7
56,256,0,0.8047,9545,-0.00386,0.36003,1.0580,0.00262,0.0234,1.0078,,1.05974,0.6205,0.5448,0.0669,8.9
57,256,0,0.7891,9344,0.00221,0.35980,1.0384,0.00228,0.0167,1.0088,,1.05287,0.6144,0.5475,0.0627,8.4
58,256,0,0.7930,9443,-0.00028,0.35968,1.0419,0.00150,0.0195,1.0074,,1.04585,0.6228,0.5417,0.0585,8.3
59,256,0,0.7656,9371,-0.00528,0.36856,1.0411,0.00210,0.0264,1.0064,,1.06416,0.6134,0.5422,0.0542,8.6
60,256,0,0.7578,9524,0.00011,0.37915,1.0286,0.00147,0.0113,1.0067,0.8463,1.05073,0.6148,0.5433,0.0500,13.2
