iter,games,unfinished,win_rate,steps,pg_loss,v_loss,entropy,approx_kl,clip_frac,beta,eval_wr,bc_loss,bc_acc,bc_holdout,bc_coef,secs
45,256,0,0.5938,10019,-0.00453,0.52919,0.8853,0.00163,0.0103,1.0029,,0.73396,0.7411,0.6514,0.1136,13.7
46,256,0,0.5703,10231,-0.00306,0.51625,0.8736,0.00148,0.0120,1.0041,,0.70457,0.7533,0.6541,0.1093,13.9
47,256,0,0.6250,9625,-0.00371,0.50390,0.8865,0.00158,0.0130,1.0045,,0.71821,0.7498,0.6497,0.1051,11.0
48,256,0,0.6562,10186,-0.00338,0.46989,0.9076,0.00123,0.0149,1.0037,,0.70432,0.7537,0.6530,0.1008,9.1
49,256,0,0.6328,10130,-0.00411,0.50888,0.8884,0.00269,0.0166,1.0027,,0.73247,0.7492,0.6529,0.0966,8.8
50,256,0,0.6289,9844,-0.00299,0.51247,0.9034,0.00116,0.0114,1.0036,0.6695,0.71120,0.7513,0.6560,0.0924,13.4
51,256,0,0.6680,9857,-0.00231,0.50217,0.9183,0.00072,0.0089,1.0039,,0.71988,0.7542,0.6522,0.0881,8.7
52,256,0,0.6445,9368,0.00479,0.48755,0.9052,0.00204,0.0154,1.0038,,0.72148,0.7532,0.6582,0.0839,8.4
53,256,0,0.6211,9586,-0.00559,0.46202,0.9100,0.00182,0.0109,1.0021,,0.72890,0.7511,0.6567,0.0797,8.7
54,256,0,0.6445,9671,-0.00224,0.48268,0.8997,0.00262,0.0243,1.0012,,0.72189,0.7500,0.6578,0.0754,8.5
55,256,0,0.6367,9632,-0.00181,0.49249,0.9194,0.00165,0.0144,1.0010,,0.73047,0.7479,0.6588,0.0712,8.6
56,256,0,0.6289,9558,-0.00195,0.49994,0.9129,0.00248,0.0157,1.0019,,0.73816,0.7422,0.6548,0.0669,8.8
57,256,0,0.6172,9581,-0.00607,0.51514,0.8907,0.00204,0.0152,1.0028,,0.73868,0.7444,0.6532,0.0627,10.2
58,256,0,0.6133,9468,-0.00403,0.53087,0.9203,0.00201,0.0169,1.0034,,0.71951,0.7452,0.6495,0.0585,12.2
59,256,0,0.6328,9690,-0.00243,0.50550,0.9006,0.00217,0.0220,1.0039,,0.72990,0.7417,0.6463,0.0542,13.3
60,256,0,0.6367,10155,-0.00338,0.49619,0.8873,0.00126,0.0149,1.0056,0.5546,0.74381,0.7390,0.6455,0.0500,17.8
