iter,games,unfinished,win_rate,steps,pg_loss,v_loss,entropy,approx_kl,clip_frac,beta,eval_wr,bc_loss,bc_acc,bc_holdout,bc_coef,adv_minwr,secs
42,256,0,0.7227,9666,-0.00541,0.41831,1.1222,0.00454,0.0499,1.0202,,1.01312,0.6340,0.5515,0.2485,0.5974,7.7
43,256,0,0.7188,9815,-0.00628,0.42006,1.1152,0.00715,0.0613,1.0190,,1.01753,0.6299,0.5541,0.2472,0.5869,7.8
44,256,0,0.7305,9518,-0.00812,0.42014,1.1308,0.00431,0.0619,1.0191,,0.99595,0.6403,0.5557,0.2460,0.5965,7.8
45,256,0,0.7344,10082,-0.00592,0.42378,1.1382,0.00666,0.0538,1.0185,,1.01860,0.6312,0.5579,0.2447,0.6135,8.1
46,256,0,0.6992,9963,-0.00727,0.40577,1.1559,0.00355,0.0468,1.0185,,1.00052,0.6409,0.5605,0.2435,0.6204,7.7
47,256,0,0.7656,9853,-0.00317,0.40764,1.1480,0.00381,0.0466,1.0202,,1.01101,0.6314,0.5526,0.2422,0.6344,8.0
48,256,0,0.7188,9851,-0.00709,0.43386,1.1408,0.00367,0.0482,1.0195,,1.02137,0.6302,0.5497,0.2410,0.6033,8.0
49,256,0,0.7344,9843,-0.00534,0.42009,1.0906,0.00524,0.0528,1.0190,,1.01644,0.6262,0.5550,0.2397,0.6060,8.0
50,256,0,0.7266,9372,-0.00307,0.40899,1.1406,0.00435,0.0596,1.0196,0.8247,1.01217,0.6379,0.5590,0.2384,0.5827,13.5
51,256,0,0.7422,9799,-0.00637,0.40935,1.1601,0.00376,0.0573,1.0188,,1.01540,0.6310,0.5552,0.2372,0.6141,7.7
52,256,0,0.7129,9996,-0.00628,0.40510,1.1384,0.00533,0.0509,1.0183,,1.02359,0.6284,0.5570,0.2359,0.6330,7.9
53,256,0,0.7578,9608,-0.00763,0.38294,1.1499,0.00321,0.0361,1.0196,,1.00521,0.6306,0.5557,0.2347,0.6441,7.6
54,256,0,0.7383,9514,-0.00742,0.38201,1.1385,0.00626,0.0679,1.0200,,1.00092,0.6345,0.5508,0.2334,0.6538,7.7
55,256,0,0.7773,9591,-0.00756,0.38630,1.1359,0.00559,0.0696,1.0200,,1.01586,0.6362,0.5557,0.2322,0.6640,7.8
56,256,0,0.7344,9399,-0.00691,0.38193,1.1326,0.00436,0.0677,1.0202,,0.99766,0.6400,0.5541,0.2309,0.6497,7.5
57,256,0,0.7461,9592,-0.00609,0.40418,1.1353,0.00499,0.0641,1.0200,,1.01008,0.6384,0.5555,0.2296,0.6003,7.7
58,256,0,0.7109,9645,-0.00498,0.42075,1.1411,0.00504,0.0569,1.0213,,1.01200,0.6372,0.5501,0.2284,0.6077,8.0
59,256,0,0.7500,9180,-0.00492,0.39119,1.1338,0.00478,0.0649,1.0230,,1.01175,0.6392,0.5495,0.2271,0.5997,7.2
60,256,0,0.7109,9238,0.00350,0.42193,1.1370,0.01033,0.1163,1.0248,0.8750,1.01544,0.6389,0.5417,0.2259,0.6049,13.8
61,256,0,0.7598,9525,-0.00441,0.40363,1.1329,0.00717,0.0778,1.0259,,1.01109,0.6410,0.5484,0.2246,0.6293,7.6
62,256,0,0.7207,9393,-0.00707,0.39985,1.1215,0.00453,0.0637,1.0268,,1.01541,0.6344,0.5524,0.2234,0.6320,7.6
63,256,0,0.7188,9627,-0.00495,0.39727,1.1442,0.00668,0.0610,1.0271,,1.00935,0.6341,0.5455,0.2221,0.6357,8.0
64,256,0,0.7480,9234,-0.01082,0.40302,1.1229,0.00528,0.1234,1.0280,,1.01565,0.6280,0.5590,0.2209,0.6527,7.5
65,256,0,0.7461,9053,-0.00477,0.39338,1.1360,0.00453,0.0729,1.0292,,1.02542,0.6345,0.5537,0.2196,0.6393,7.7
66,256,0,0.7070,9154,-0.00513,0.42683,1.1455,0.00368,0.0507,1.0294,,1.02649,0.6268,0.5486,0.2183,0.6186,7.5
67,256,0,0.7109,9142,-0.00676,0.43010,1.1170,0.00375,0.0429,1.0299,,0.99420,0.6396,0.5530,0.2171,0.6190,7.6
68,256,0,0.6602,9217,-0.01925,0.42154,1.1932,0.00722,0.0808,1.0327,,0.99853,0.6338,0.5451,0.2158,0.6007,6.3
69,256,0,0.7070,9466,-0.00915,0.45125,1.1109,0.00636,0.0671,1.0331,,1.01336,0.6378,0.5495,0.2146,0.5745,7.7
70,256,0,0.7578,9511,-0.00551,0.41170,1.1306,0.00577,0.0675,1.0320,0.7644,1.02342,0.6361,0.5526,0.2133,0.5772,13.9
71,256,0,0.6992,9572,-0.00594,0.41439,1.1208,0.00388,0.0435,1.0303,,1.00724,0.6361,0.5528,0.2121,0.5598,7.8
72,256,0,0.8008,9763,-0.00424,0.38258,1.1042,0.00546,0.0587,1.0297,,0.99196,0.6416,0.5586,0.2108,0.6183,7.7
73,256,0,0.7422,9459,-0.00258,0.43011,1.1255,0.00618,0.0776,1.0295,,1.00529,0.6309,0.5548,0.2095,0.6328,7.7
74,256,0,0.7930,9639,-0.00609,0.39303,1.1218,0.00407,0.0600,1.0311,,0.99985,0.6401,0.5563,0.2083,0.6603,8.0
75,256,0,0.7344,9409,-0.00432,0.40340,1.1127,0.00556,0.0849,1.0309,,1.00424,0.6447,0.5546,0.2070,0.6354,7.5
76,256,0,0.7500,9266,-0.00263,0.37207,1.1479,0.00969,0.0998,1.0314,,1.00996,0.6323,0.5499,0.2058,0.6233,6.8
77,256,0,0.7656,9147,-0.00531,0.37019,1.1629,0.00911,0.1124,1.0305,,1.03232,0.6301,0.5464,0.2045,0.6530,7.5
78,256,0,0.7305,9370,0.00027,0.38173,1.1726,0.00508,0.0669,1.0313,,1.01488,0.6409,0.5510,0.2033,0.6446,7.7
79,256,0,0.6914,9277,0.00957,0.41141,1.1339,0.00939,0.1099,1.0325,,1.01003,0.6422,0.5371,0.2020,0.6326,6.2
80,256,0,0.7305,9206,-0.00489,0.41174,1.0972,0.00441,0.0543,1.0321,0.9425,1.03037,0.6331,0.5453,0.2008,0.6220,13.3
81,256,0,0.7812,9628,-0.00594,0.40460,1.1091,0.00509,0.0559,1.0312,,1.03051,0.6255,0.5431,0.1995,0.6560,7.7
82,256,0,0.7305,9464,-0.00288,0.41111,1.1389,0.00563,0.0755,1.0321,,1.02036,0.6391,0.5433,0.1982,0.6644,7.5
83,256,0,0.7266,9359,-0.00697,0.42548,1.1318,0.00466,0.0721,1.0330,,1.02245,0.6385,0.5377,0.1970,0.6519,7.6
84,256,0,0.7500,9276,-0.00390,0.39123,1.1315,0.00843,0.0973,1.0352,,1.00638,0.6348,0.5455,0.1957,0.6644,7.4
85,256,0,0.7656,9380,-0.00791,0.40070,1.1092,0.00719,0.1032,1.0364,,1.00892,0.6371,0.5455,0.1945,0.6574,7.6
86,256,0,0.7578,9833,-0.00742,0.40275,1.1148,0.00550,0.0749,1.0362,,0.99150,0.6387,0.5464,0.1932,0.6745,7.8
87,256,0,0.7031,9802,-0.00650,0.42863,1.1083,0.00336,0.0409,1.0354,,0.99124,0.6408,0.5524,0.1920,0.5945,7.7
88,256,0,0.7148,9368,-0.00066,0.40918,1.1080,0.00495,0.0468,1.0354,,0.99239,0.6452,0.5482,0.1907,0.5962,7.7
89,256,0,0.7676,9834,-0.00671,0.40869,1.1042,0.00487,0.0616,1.0353,,0.98558,0.6475,0.5559,0.1894,0.6284,8.2
90,256,0,0.7812,9559,-0.00504,0.39730,1.1010,0.00559,0.0562,1.0357,0.7874,0.99553,0.6492,0.5552,0.1882,0.6621,13.6
91,256,0,0.7422,9541,-0.00695,0.39391,1.1138,0.00372,0.0588,1.0357,,0.97882,0.6555,0.5493,0.1869,0.6680,7.6
92,256,0,0.7695,9536,-0.00793,0.39501,1.1031,0.00365,0.0429,1.0388,,1.00075,0.6416,0.5532,0.1857,0.6601,7.7
93,256,0,0.7656,9625,-0.00480,0.37944,1.1040,0.00454,0.0598,1.0366,,1.00079,0.6348,0.5526,0.1844,0.6721,7.9
94,256,0,0.7734,9801,-0.00614,0.40174,1.1063,0.00543,0.0627,1.0365,,0.99278,0.6447,0.5552,0.1832,0.6891,8.0
95,256,0,0.7305,9637,-0.00632,0.38494,1.1041,0.00454,0.0445,1.0366,,1.00506,0.6388,0.5544,0.1819,0.6561,7.6
