iter,games,unfinished,win_rate,steps,pg_loss,v_loss,entropy,approx_kl,clip_frac,beta,eval_wr,bc_loss,bc_acc,bc_holdout,bc_coef,secs
45,256,0,0.6289,9470,-0.00111,0.42203,0.8961,0.00070,0.0138,0.9962,,0.82133,0.7063,0.6360,0.1136,7.4
46,256,0,0.5977,9658,-0.00350,0.40809,0.8593,0.00104,0.0060,0.9955,,0.82141,0.7067,0.6354,0.1093,7.9
47,256,0,0.6133,9342,-0.00734,0.39340,0.8875,0.00141,0.0069,0.9958,,0.83701,0.6968,0.6354,0.1051,7.4
48,256,0,0.6406,9535,-0.00134,0.36296,0.8894,0.00110,0.0038,0.9954,,0.81867,0.7015,0.6376,0.1008,7.7
49,256,0,0.6250,9315,-0.00459,0.39107,0.8713,0.00048,0.0190,0.9948,,0.81543,0.7125,0.6388,0.0966,7.4
50,256,0,0.6094,9477,-0.00300,0.37363,0.8726,0.00115,0.0074,0.9959,0.6638,0.83913,0.7024,0.6393,0.0924,12.0
51,256,0,0.6758,9273,0.00321,0.30848,0.9262,0.00179,0.0083,0.9947,,0.85112,0.6923,0.6388,0.0881,7.4
52,256,0,0.6504,9561,-0.00498,0.35140,0.8947,0.00108,0.0104,0.9959,,0.82819,0.7050,0.6456,0.0839,7.6
53,256,0,0.6992,9709,-0.00285,0.35187,0.9111,0.00016,0.0014,0.9958,,0.83570,0.7035,0.6461,0.0797,7.6
54,256,0,0.6836,9379,-0.00098,0.32898,0.9067,0.00058,0.0048,0.9957,,0.82726,0.7070,0.6416,0.0754,7.6
55,256,0,0.6445,9590,-0.00133,0.36538,0.8930,0.00143,0.0039,0.9972,,0.82864,0.7013,0.6405,0.0712,7.5
56,256,0,0.6445,9523,-0.00371,0.37246,0.8671,0.00187,0.0080,0.9986,,0.82910,0.6970,0.6331,0.0669,7.5
57,256,0,0.6094,9591,-0.00384,0.37586,0.8543,0.00076,0.0064,0.9980,,0.84601,0.6945,0.6343,0.0627,7.6
58,256,0,0.5977,9232,-0.00050,0.37092,0.8722,0.00406,0.0363,0.9967,,0.84426,0.6954,0.6360,0.0585,7.3
59,256,0,0.7148,9376,0.00162,0.38726,0.8857,0.00156,0.0123,0.9948,,0.85628,0.6903,0.6337,0.0542,7.2
60,256,0,0.6406,9409,-0.00110,0.34040,0.8990,0.00128,0.0196,0.9937,0.6652,0.86433,0.6888,0.6314,0.0500,12.0
