agent,deck,archetype,share,games,wins,losses,draws,unfinished,winrate
agents/dragapult_rb,decks/candidates/2026-06-30_top5/popular_4_dragapult.csv,kangaskhan[tuned],9.5,30,24,6,0,0,0.8000
agents/dragapult_rb,decks/candidates/2026-06-30_top5/popular_4_dragapult.csv,kangaskhan[generic],9.5,30,25,5,0,0,0.8333
agents/dragapult_rb,decks/candidates/2026-06-30_top5/popular_4_dragapult.csv,garchomp[tuned],8.5,30,14,16,0,0,0.4667
agents/dragapult_rb,decks/candidates/2026-06-30_top5/popular_4_dragapult.csv,garchomp[generic],8.5,30,23,7,0,0,0.7667
agents/dragapult_rb,decks/candidates/2026-06-30_top5/popular_4_dragapult.csv,okidogi[generic],4.8,30,28,2,0,0,0.9333
agents/dragapult_rb,decks/candidates/2026-06-30_top5/popular_4_dragapult.csv,comfey_yveltal[generic],4.8,30,29,1,0,0,0.9667
agents/dragapult_rb,decks/candidates/2026-06-30_top5/popular_4_dragapult.csv,chandelure[tuned],4.5,30,19,11,0,0,0.6333
agents/dragapult_rb,decks/candidates/2026-06-30_top5/popular_4_dragapult.csv,chandelure[generic],4.5,30,25,5,0,0,0.8333
agents/dragapult_rb,decks/candidates/2026-06-30_top5/popular_4_dragapult.csv,lopunny[generic],3.8,30,26,4,0,0,0.8667
agents/dragapult_rb,decks/candidates/2026-06-30_top5/popular_4_dragapult.csv,megastarmie[generic],3.5,30,16,14,0,0,0.5333
agents/dragapult_rb,decks/candidates/2026-06-30_top5/popular_4_dragapult.csv,rocket[generic],2.0,30,29,1,0,0,0.9667
agents/dragapult_rb,decks/candidates/2026-06-30_top5/popular_4_dragapult.csv,archaludon[tuned],2.0,30,9,21,0,0,0.3000
agents/dragapult_rb,decks/candidates/2026-06-30_top5/popular_4_dragapult.csv,archaludon[generic],2.0,30,24,6,0,0,0.8000
agents/dragapult_rb,decks/candidates/2026-06-30_top5/popular_4_dragapult.csv,archaludon[frozen],2.0,30,13,17,0,0,0.4333
