agent,deck,archetype,share,games,wins,losses,draws,unfinished,winrate
agents/crustle_rb,decks/fleet/crustle_wall_top.csv,crustle_prism,8.0,80,47,33,0,0,0.5875
agents/crustle_rb,decks/fleet/crustle_wall_top.csv,garchomp,7.0,80,57,23,0,0,0.7125
agents/crustle_rb,decks/fleet/crustle_wall_top.csv,chandelure,6.0,80,25,55,0,0,0.3125
agents/crustle_rb,decks/fleet/crustle_wall_top.csv,rocket,4.0,80,77,3,0,0,0.9625
agents/crustle_rb,decks/fleet/crustle_wall_top.csv,megastarmie,3.0,80,18,62,0,0,0.2250
agents/crustle_rb,decks/fleet/crustle_wall_top.csv,froslass_starmie,3.0,80,37,43,0,0,0.4625
agents/crustle_rb,decks/fleet/crustle_wall_top.csv,dragapult,2.0,80,29,51,0,0,0.3625
agents/crustle_rb,decks/fleet/crustle_wall_top.csv,archaludon,2.0,80,61,19,0,0,0.7625
agents/crustle_rb,decks/fleet/crustle_wall_top.csv,alakazam,40.0,80,43,37,0,0,0.5375
agents/crustle_rb,decks/fleet/crustle_wall_top.csv,crustle_wall,12.0,80,52,28,0,0,0.6500
agents/crustle_rb,decks/fleet/crustle_wall_top.csv,marnie,10.0,80,67,13,0,0,0.8375
agents/crustle_rb,decks/fleet/crustle_wall_top.csv,crustle_prism,8.0,80,44,36,0,0,0.5500
agents/crustle_rb,decks/fleet/crustle_wall_top.csv,garchomp,7.0,80,56,24,0,0,0.7000
agents/crustle_rb,decks/fleet/crustle_wall_top.csv,chandelure,6.0,80,48,32,0,0,0.6000
agents/crustle_rb,decks/fleet/crustle_wall_top.csv,rocket,4.0,80,76,4,0,0,0.9500
agents/crustle_rb,decks/fleet/crustle_wall_top.csv,megastarmie,3.0,80,26,53,1,0,0.3291
agents/crustle_rb,decks/fleet/crustle_wall_top.csv,froslass_starmie,3.0,80,51,28,1,0,0.6456
agents/crustle_rb,decks/fleet/crustle_wall_top.csv,dragapult,2.0,80,28,52,0,0,0.3500
agents/crustle_rb,decks/fleet/crustle_wall_top.csv,archaludon,2.0,80,57,23,0,0,0.7125
agents/crustle_rb,decks/fleet/crustle_wall_top.csv,alakazam,40.0,80,43,37,0,0,0.5375
agents/crustle_rb,decks/fleet/crustle_wall_top.csv,crustle_wall,12.0,80,55,25,0,0,0.6875
agents/crustle_rb,decks/fleet/crustle_wall_top.csv,marnie,10.0,80,63,17,0,0,0.7875
agents/crustle_rb,decks/fleet/crustle_wall_top.csv,crustle_prism,8.0,80,42,38,0,0,0.5250
agents/crustle_rb,decks/fleet/crustle_wall_top.csv,garchomp,7.0,80,59,21,0,0,0.7375
agents/crustle_rb,decks/fleet/crustle_wall_top.csv,chandelure,6.0,80,48,32,0,0,0.6000
agents/crustle_rb,decks/fleet/crustle_wall_top.csv,rocket,4.0,80,77,3,0,0,0.9625
agents/crustle_rb,decks/fleet/crustle_wall_top.csv,megastarmie,3.0,80,29,51,0,0,0.3625
agents/crustle_rb,decks/fleet/crustle_wall_top.csv,froslass_starmie,3.0,80,45,34,1,0,0.5696
agents/crustle_rb,decks/fleet/crustle_wall_top.csv,dragapult,2.0,80,26,54,0,0,0.3250
agents/crustle_rb,decks/fleet/crustle_wall_top.csv,archaludon,2.0,80,64,16,0,0,0.8000
agents/alakazam_rb,decks/fleet/alakazam_top_0710.csv,alakazam,40.0,80,44,36,0,0,0.5500
agents/alakazam_rb,decks/fleet/alakazam_top_0710.csv,crustle_wall,12.0,80,26,54,0,0,0.3250
agents/alakazam_rb,decks/fleet/alakazam_top_0710.csv,marnie,10.0,80,18,62,0,0,0.2250
agents/alakazam_rb,decks/fleet/alakazam_top_0710.csv,crustle_prism,8.0,80,37,43,0,0,0.4625
agents/alakazam_rb,decks/fleet/alakazam_top_0710.csv,garchomp,7.0,80,34,46,0,0,0.4250
agents/alakazam_rb,decks/fleet/alakazam_top_0710.csv,chandelure,6.0,80,17,63,0,0,0.2125
agents/alakazam_rb,decks/fleet/alakazam_top_0710.csv,rocket,4.0,80,24,56,0,0,0.3000
agents/alakazam_rb,decks/fleet/alakazam_top_0710.csv,megastarmie,3.0,80,44,36,0,0,0.5500
agents/alakazam_rb,decks/fleet/alakazam_top_0710.csv,froslass_starmie,3.0,80,50,30,0,0,0.6250
agents/alakazam_rb,decks/fleet/alakazam_top_0710.csv,dragapult,2.0,80,31,49,0,0,0.3875
agents/alakazam_rb,decks/fleet/alakazam_top_0710.csv,archaludon,2.0,80,44,36,0,0,0.5500
agents/alakazam_rb,decks/fleet/alakazam_top_0710.csv,alakazam,40.0,80,39,41,0,0,0.4875
agents/alakazam_rb,decks/fleet/alakazam_top_0710.csv,crustle_wall,12.0,80,24,56,0,0,0.3000
agents/alakazam_rb,decks/fleet/alakazam_top_0710.csv,marnie,10.0,80,19,61,0,0,0.2375
agents/alakazam_rb,decks/fleet/alakazam_top_0710.csv,crustle_prism,8.0,80,33,47,0,0,0.4125
agents/alakazam_rb,decks/fleet/alakazam_top_0710.csv,garchomp,7.0,80,27,53,0,0,0.3375
agents/alakazam_rb,decks/fleet/alakazam_top_0710.csv,chandelure,6.0,80,20,60,0,0,0.2500
agents/alakazam_rb,decks/fleet/alakazam_top_0710.csv,rocket,4.0,80,25,55,0,0,0.3125
agents/alakazam_rb,decks/fleet/alakazam_top_0710.csv,megastarmie,3.0,80,42,38,0,0,0.5250
agents/alakazam_rb,decks/fleet/alakazam_top_0710.csv,froslass_starmie,3.0,80,39,41,0,0,0.4875
agents/alakazam_rb,decks/fleet/alakazam_top_0710.csv,dragapult,2.0,80,35,45,0,0,0.4375
agents/alakazam_rb,decks/fleet/alakazam_top_0710.csv,archaludon,2.0,80,47,33,0,0,0.5875
agents/rocket_rb,decks/fleet/rocket_lolzpo_0715.csv,alakazam,40.0,80,73,7,0,0,0.9125
agents/rocket_rb,decks/fleet/rocket_lolzpo_0715.csv,crustle_wall,12.0,80,55,25,0,0,0.6875
agents/rocket_rb,decks/fleet/rocket_lolzpo_0715.csv,marnie,10.0,80,23,57,0,0,0.2875
agents/rocket_rb,decks/fleet/rocket_lolzpo_0715.csv,crustle_prism,8.0,80,30,50,0,0,0.3750
agents/rocket_rb,decks/fleet/rocket_lolzpo_0715.csv,garchomp,7.0,80,18,62,0,0,0.2250
agents/rocket_rb,decks/fleet/rocket_lolzpo_0715.csv,chandelure,6.0,80,34,46,0,0,0.4250
agents/rocket_rb,decks/fleet/rocket_lolzpo_0715.csv,rocket,4.0,80,65,15,0,0,0.8125
agents/rocket_rb,decks/fleet/rocket_lolzpo_0715.csv,megastarmie,3.0,80,23,57,0,0,0.2875
agents/rocket_rb,decks/fleet/rocket_lolzpo_0715.csv,froslass_starmie,3.0,80,13,67,0,0,0.1625
agents/rocket_rb,decks/fleet/rocket_lolzpo_0715.csv,dragapult,2.0,80,23,57,0,0,0.2875
agents/rocket_rb,decks/fleet/rocket_lolzpo_0715.csv,archaludon,2.0,80,8,72,0,0,0.1000
