agent,deck,archetype,share,games,wins,losses,draws,unfinished,winrate
agents/dragapult_dusknoir_rb,decks/fleet/dragapult_dusknoir_paper.csv,crustle_wall,1.1,80,42,38,0,0,0.5250
agents/froslass_starmie_rb,decks/fleet/froslass_starmie_taksai.csv,alakazam,43.0,80,39,41,0,0,0.4875
agents/froslass_starmie_rb,decks/fleet/froslass_starmie_taksai.csv,garchomp,20.2,80,40,40,0,0,0.5000
agents/froslass_starmie_rb,decks/fleet/froslass_starmie_taksai.csv,rocket,14.0,80,65,15,0,0,0.8125
agents/froslass_starmie_rb,decks/fleet/froslass_starmie_taksai.csv,marnie,8.9,80,33,47,0,0,0.4125
agents/froslass_starmie_rb,decks/fleet/froslass_starmie_taksai.csv,dragapult_dusknoir,7.0,80,63,17,0,0,0.7875
agents/froslass_starmie_rb,decks/fleet/froslass_starmie_taksai.csv,dragapult,5.3,80,68,12,0,0,0.8500
agents/froslass_starmie_rb,decks/fleet/froslass_starmie_taksai.csv,crustle_wall,1.1,80,49,30,1,0,0.6203
agents/marnie_munkidori_rb,decks/fleet/winrate_2_marnie_grimmsnarl.csv,alakazam,43.0,80,60,20,0,0,0.7500
agents/marnie_munkidori_rb,decks/fleet/winrate_2_marnie_grimmsnarl.csv,garchomp,20.2,80,34,46,0,0,0.4250
agents/marnie_munkidori_rb,decks/fleet/winrate_2_marnie_grimmsnarl.csv,rocket,14.0,80,68,12,0,0,0.8500
agents/marnie_munkidori_rb,decks/fleet/winrate_2_marnie_grimmsnarl.csv,marnie,8.9,80,54,26,0,0,0.6750
agents/marnie_munkidori_rb,decks/fleet/winrate_2_marnie_grimmsnarl.csv,dragapult_dusknoir,7.0,80,68,12,0,0,0.8500
agents/marnie_munkidori_rb,decks/fleet/winrate_2_marnie_grimmsnarl.csv,dragapult,5.3,80,74,6,0,0,0.9250
agents/marnie_munkidori_rb,decks/fleet/winrate_2_marnie_grimmsnarl.csv,crustle_wall,1.1,80,39,41,0,0,0.4875
agents/mega_kangaskhan_rb,decks/fleet/mega_kangaskhan_top.csv,alakazam,43.0,80,23,57,0,0,0.2875
agents/mega_kangaskhan_rb,decks/fleet/mega_kangaskhan_top.csv,garchomp,20.2,80,20,60,0,0,0.2500
agents/mega_kangaskhan_rb,decks/fleet/mega_kangaskhan_top.csv,rocket,14.0,80,50,30,0,0,0.6250
agents/mega_kangaskhan_rb,decks/fleet/mega_kangaskhan_top.csv,marnie,8.9,80,28,52,0,0,0.3500
agents/mega_kangaskhan_rb,decks/fleet/mega_kangaskhan_top.csv,dragapult_dusknoir,7.0,80,43,37,0,0,0.5375
agents/mega_kangaskhan_rb,decks/fleet/mega_kangaskhan_top.csv,dragapult,5.3,80,41,39,0,0,0.5125
agents/mega_kangaskhan_rb,decks/fleet/mega_kangaskhan_top.csv,crustle_wall,1.1,80,28,52,0,0,0.3500
agents/rocket_rb,decks/fleet/rocket_lolzpo_0715.csv,alakazam,43.0,80,67,13,0,0,0.8375
agents/rocket_rb,decks/fleet/rocket_lolzpo_0715.csv,garchomp,20.2,80,31,49,0,0,0.3875
agents/rocket_rb,decks/fleet/rocket_lolzpo_0715.csv,rocket,14.0,80,43,37,0,0,0.5375
agents/rocket_rb,decks/fleet/rocket_lolzpo_0715.csv,marnie,8.9,80,11,69,0,0,0.1375
agents/rocket_rb,decks/fleet/rocket_lolzpo_0715.csv,dragapult_dusknoir,7.0,80,42,38,0,0,0.5250
agents/rocket_rb,decks/fleet/rocket_lolzpo_0715.csv,dragapult,5.3,80,55,25,0,0,0.6875
agents/rocket_rb,decks/fleet/rocket_lolzpo_0715.csv,crustle_wall,1.1,80,61,19,0,0,0.7625
