agent,deck,archetype,share,games,wins,losses,draws,unfinished,winrate
agents/froslass_starmie_rb,decks/fleet/froslass_starmie_taksai.csv,froslass_starmie,2.0,80,44,36,0,0,0.5500
agents/marnie_munkidori_rb,decks/fleet/winrate_2_marnie_grimmsnarl.csv,alakazam,29.9,80,58,22,0,0,0.7250
agents/marnie_munkidori_rb,decks/fleet/winrate_2_marnie_grimmsnarl.csv,marnie_luca,22.0,80,47,33,0,0,0.5875
agents/marnie_munkidori_rb,decks/fleet/winrate_2_marnie_grimmsnarl.csv,marnie_main,16.3,80,54,26,0,0,0.6750
agents/marnie_munkidori_rb,decks/fleet/winrate_2_marnie_grimmsnarl.csv,crustle_wall,17.8,80,24,56,0,0,0.3000
agents/marnie_munkidori_rb,decks/fleet/winrate_2_marnie_grimmsnarl.csv,rocket,8.6,80,71,9,0,0,0.8875
agents/marnie_munkidori_rb,decks/fleet/winrate_2_marnie_grimmsnarl.csv,froslass_starmie,2.0,80,49,31,0,0,0.6125
agents/mega_kangaskhan_rb,decks/fleet/mega_kangaskhan_top.csv,alakazam,29.9,80,24,56,0,0,0.3000
agents/mega_kangaskhan_rb,decks/fleet/mega_kangaskhan_top.csv,marnie_luca,22.0,80,23,57,0,0,0.2875
agents/mega_kangaskhan_rb,decks/fleet/mega_kangaskhan_top.csv,marnie_main,16.3,80,32,48,0,0,0.4000
agents/mega_kangaskhan_rb,decks/fleet/mega_kangaskhan_top.csv,crustle_wall,17.8,80,10,70,0,0,0.1250
agents/mega_kangaskhan_rb,decks/fleet/mega_kangaskhan_top.csv,rocket,8.6,80,63,17,0,0,0.7875
agents/mega_kangaskhan_rb,decks/fleet/mega_kangaskhan_top.csv,froslass_starmie,2.0,80,28,52,0,0,0.3500
agents/rocket_rb,decks/fleet/rocket_lolzpo_0715.csv,alakazam,29.9,80,71,9,0,0,0.8875
agents/rocket_rb,decks/fleet/rocket_lolzpo_0715.csv,marnie_luca,22.0,80,15,65,0,0,0.1875
agents/rocket_rb,decks/fleet/rocket_lolzpo_0715.csv,marnie_main,16.3,80,20,60,0,0,0.2500
agents/rocket_rb,decks/fleet/rocket_lolzpo_0715.csv,crustle_wall,17.8,80,57,23,0,0,0.7125
agents/rocket_rb,decks/fleet/rocket_lolzpo_0715.csv,rocket,8.6,80,56,24,0,0,0.7000
agents/rocket_rb,decks/fleet/rocket_lolzpo_0715.csv,froslass_starmie,2.0,80,14,66,0,0,0.1750
