archetype,share,field_wr,agent_or_deck,deck
crustle_wall,12.0,55.0,generic,decks/candidates/crustle_kangaskhan_wall_0711.csv
crustle_prism,8.0,53.0,generic,decks/candidates/crustle_munkidori_prism_0711.csv
