agent,deck,archetype,share,games,wins,losses,draws,unfinished,winrate
agents/chandelure_rb,decks/fleet/chandelure_top.csv,archaludon,14.2857,200,187,13,0,0,0.9350
agents/chandelure_rb,decks/fleet/chandelure_top.csv,alakazam,14.2857,200,168,32,0,0,0.8400
agents/chandelure_rb,decks/fleet/chandelure_top.csv,thwackey_festival,14.2857,200,192,8,0,0,0.9600
agents/chandelure_rb,decks/fleet/chandelure_top.csv,crustle_prism,14.2857,200,187,13,0,0,0.9350
agents/chandelure_rb,decks/fleet/chandelure_top.csv,meganium_ogerpon,14.2857,200,181,19,0,0,0.9050
agents/chandelure_rb,decks/fleet/chandelure_top.csv,froslass_starmie,14.2857,200,52,148,0,0,0.2600
agents/chandelure_rb,decks/fleet/chandelure_top.csv,marnie,14.2857,200,139,61,0,0,0.6950
