agent,deck,archetype,share,games,wins,losses,draws,unfinished,winrate
agents/chandelure_rb,decks/fleet/chandelure_top.csv,archaludon,14.2857,200,191,9,0,0,0.9550
agents/chandelure_rb,decks/fleet/chandelure_top.csv,alakazam,14.2857,200,175,25,0,0,0.8750
agents/chandelure_rb,decks/fleet/chandelure_top.csv,thwackey_festival,14.2857,200,189,11,0,0,0.9450
agents/chandelure_rb,decks/fleet/chandelure_top.csv,crustle_prism,14.2857,200,191,9,0,0,0.9550
agents/chandelure_rb,decks/fleet/chandelure_top.csv,meganium_ogerpon,14.2857,200,191,9,0,0,0.9550
agents/chandelure_rb,decks/fleet/chandelure_top.csv,froslass_starmie,14.2857,200,73,127,0,0,0.3650
agents/chandelure_rb,decks/fleet/chandelure_top.csv,marnie,14.2857,200,153,47,0,0,0.7650
