agent,deck,archetype,share,games,wins,losses,draws,unfinished,winrate
agents/chandelure_rb,decks/fleet/chandelure_top.csv,archaludon,14.2857,200,182,18,0,0,0.9100
agents/chandelure_rb,decks/fleet/chandelure_top.csv,alakazam,14.2857,200,172,28,0,0,0.8600
agents/chandelure_rb,decks/fleet/chandelure_top.csv,thwackey_festival,14.2857,200,183,17,0,0,0.9150
agents/chandelure_rb,decks/fleet/chandelure_top.csv,crustle_prism,14.2857,200,195,5,0,0,0.9750
agents/chandelure_rb,decks/fleet/chandelure_top.csv,meganium_ogerpon,14.2857,200,189,11,0,0,0.9450
agents/chandelure_rb,decks/fleet/chandelure_top.csv,froslass_starmie,14.2857,200,54,146,0,0,0.2700
agents/chandelure_rb,decks/fleet/chandelure_top.csv,marnie,14.2857,200,143,57,0,0,0.7150
