agent,deck,archetype,share,games,wins,losses,draws,unfinished,winrate
agents/chandelure_rb,decks/fleet/chandelure_top.csv,archaludon,14.2857,250,231,19,0,0,0.9240
agents/chandelure_rb,decks/fleet/chandelure_top.csv,alakazam,14.2857,250,212,38,0,0,0.8480
agents/chandelure_rb,decks/fleet/chandelure_top.csv,thwackey_festival,14.2857,250,232,18,0,0,0.9280
agents/chandelure_rb,decks/fleet/chandelure_top.csv,crustle_prism,14.2857,250,237,13,0,0,0.9480
agents/chandelure_rb,decks/fleet/chandelure_top.csv,meganium_ogerpon,14.2857,250,240,10,0,0,0.9600
agents/chandelure_rb,decks/fleet/chandelure_top.csv,froslass_starmie,14.2857,250,70,180,0,0,0.2800
agents/chandelure_rb,decks/fleet/chandelure_top.csv,marnie,14.2857,250,166,84,0,0,0.6640
