iter,games,unfinished,win_rate,steps,pg_loss,v_loss,entropy,approx_kl,clip_frac,beta,eval_wr,bc_loss,bc_acc,bc_holdout,bc_coef,adv_minwr,secs
42,256,0,0.5078,11558,-0.00394,0.56415,0.8345,0.00084,0.0047,0.9939,,0.87818,0.6713,0.6214,0.1263,0.4387,8.7
43,256,0,0.5000,11522,-0.00158,0.57094,0.8331,0.00045,0.0001,0.9942,,0.89906,0.6741,0.6420,0.1220,0.4562,8.6
44,256,0,0.4961,12013,-0.00121,0.57609,0.8407,0.00051,0.0032,0.9972,,0.90503,0.6681,0.6379,0.1178,0.4605,9.0
45,256,0,0.4844,11857,-0.00321,0.58675,0.8044,0.00051,0.0041,0.9999,,0.88645,0.6762,0.6420,0.1136,0.4489,8.9
46,256,0,0.5273,11739,-0.00219,0.56859,0.8203,0.00117,0.0049,0.9998,,0.89911,0.6650,0.6337,0.1093,0.4598,8.8
47,256,0,0.5234,11757,-0.00281,0.56879,0.8470,0.00154,0.0095,0.9990,,0.89272,0.6663,0.6379,0.1051,0.4651,8.7
48,256,0,0.5312,11469,-0.00211,0.56380,0.8510,0.00072,0.0028,0.9992,,0.90822,0.6597,0.6255,0.1008,0.4585,8.7
49,256,0,0.5234,11626,-0.00016,0.56752,0.8212,0.00071,0.0056,0.9979,,0.90979,0.6619,0.6337,0.0966,0.4746,8.7
50,256,0,0.5312,11692,-0.00300,0.57116,0.8389,0.00077,0.0038,0.9968,0.6750,0.88225,0.6702,0.6296,0.0924,0.4696,12.1
51,256,0,0.5195,11846,-0.00108,0.56085,0.8456,0.00025,0.0001,0.9968,,0.88894,0.6705,0.6255,0.0881,0.4459,8.7
52,256,0,0.4688,11787,-0.00105,0.58229,0.8410,0.00081,0.0064,0.9947,,0.89543,0.6707,0.6337,0.0839,0.4424,9.0
53,256,0,0.4766,11684,-0.00078,0.57611,0.8619,0.00074,0.0024,0.9963,,0.89025,0.6714,0.6296,0.0797,0.4474,8.8
54,256,0,0.4961,11513,0.00072,0.54855,0.8404,0.00080,0.0015,0.9970,,0.90214,0.6678,0.6296,0.0754,0.4245,8.9
55,256,0,0.4922,11725,-0.00213,0.57019,0.8471,0.00067,0.0032,0.9993,,0.89339,0.6651,0.6214,0.0712,0.4323,8.7
56,256,0,0.4883,11347,-0.00265,0.55394,0.8279,0.00085,0.0036,1.0002,,0.91467,0.6634,0.6379,0.0669,0.4471,8.4
57,256,0,0.5742,11905,-0.00309,0.56247,0.8135,0.00055,0.0040,1.0022,,0.89370,0.6690,0.6337,0.0627,0.4468,9.0
58,256,0,0.5508,11818,-0.00196,0.57486,0.8290,0.00106,0.0060,1.0041,,0.89775,0.6721,0.6461,0.0585,0.4590,9.4
59,256,0,0.5078,11286,-0.00059,0.56056,0.8205,0.00105,0.0080,1.0044,,0.89315,0.6676,0.6502,0.0542,0.4364,10.8
60,256,0,0.4844,11532,-0.00366,0.55343,0.8111,0.00202,0.0056,1.0053,0.5750,0.90432,0.6657,0.6502,0.0500,0.4208,13.0
