iter,games,unfinished,win_rate,steps,pg_loss,v_loss,entropy,approx_kl,clip_frac,beta,eval_wr,bc_loss,bc_acc,bc_holdout,bc_coef,adv_minwr,secs
42,256,0,0.3633,9983,-0.00370,0.51291,0.7821,0.00127,0.0142,1.0092,,0.75784,0.7377,0.5980,0.1263,0.3047,8.4
43,256,0,0.4141,9934,-0.00195,0.52269,0.7687,0.00058,0.0018,1.0071,,0.74976,0.7348,0.5922,0.1220,0.3292,7.9
44,256,0,0.3633,9541,-0.00287,0.49892,0.7681,0.00118,0.0097,1.0067,,0.76559,0.7293,0.6039,0.1178,0.3222,7.8
45,256,0,0.4102,9817,-0.00267,0.49386,0.7739,0.00066,0.0087,1.0086,,0.76175,0.7307,0.6157,0.1136,0.3260,8.1
46,256,0,0.3984,10062,-0.00260,0.51493,0.7832,0.00107,0.0104,1.0080,,0.77458,0.7282,0.5941,0.1093,0.3296,8.2
47,256,0,0.4102,10315,-0.00071,0.49865,0.7983,0.00159,0.0169,1.0074,,0.76828,0.7272,0.6157,0.1051,0.3339,8.6
48,256,0,0.4062,9990,-0.00150,0.51605,0.7809,0.00083,0.0032,1.0076,,0.75099,0.7321,0.6000,0.1008,0.3462,8.2
49,256,0,0.3984,10237,-0.00173,0.49201,0.7836,0.00075,0.0032,1.0068,,0.74618,0.7350,0.6000,0.0966,0.3245,8.2
50,256,0,0.3789,10076,-0.00220,0.50332,0.7772,0.00031,0.0025,1.0066,0.6250,0.76399,0.7236,0.6000,0.0924,0.3348,11.7
51,256,0,0.3867,10056,-0.00212,0.48115,0.7705,0.00127,0.0044,1.0059,,0.76042,0.7279,0.6039,0.0881,0.3093,8.1
52,256,0,0.4141,9791,-0.00313,0.48807,0.7408,0.00091,0.0094,1.0060,,0.76906,0.7244,0.6039,0.0839,0.3091,8.2
53,256,0,0.3945,9666,-0.00294,0.49225,0.7449,0.00055,0.0051,1.0074,,0.77384,0.7219,0.6020,0.0797,0.3311,8.0
54,256,0,0.3945,9950,-0.00143,0.51901,0.7617,0.00157,0.0094,1.0071,,0.74828,0.7374,0.6000,0.0754,0.3170,8.2
55,256,0,0.3789,9604,-0.00296,0.49188,0.7467,0.00009,0.0061,1.0061,,0.76071,0.7295,0.5824,0.0712,0.3094,7.9
56,256,0,0.4258,10014,-0.00189,0.50802,0.7553,0.00077,0.0045,1.0069,,0.77505,0.7258,0.5941,0.0669,0.3359,8.0
57,256,0,0.3594,10003,-0.00251,0.50103,0.7695,-0.00014,0.0046,1.0068,,0.77288,0.7230,0.5941,0.0627,0.3259,8.4
58,256,0,0.4609,9935,-0.00061,0.51916,0.7461,0.00074,0.0056,1.0078,,0.78033,0.7215,0.5980,0.0585,0.3514,8.1
59,256,0,0.3789,9846,-0.00161,0.48007,0.7521,0.00051,0.0046,1.0088,,0.76106,0.7260,0.6000,0.0542,0.3412,8.0
60,256,0,0.3789,10273,-0.00422,0.49362,0.7507,0.00149,0.0116,1.0077,0.6750,0.78573,0.7213,0.6000,0.0500,0.3258,11.6
